RegistrationID,ParticipantID,EventDetailsID,EventID,EventDateTimeStart,RegistrationStatus,RegistrationCheckInTime,RegistrationCreatedAt,RegistrationAttendanceFlag
32,19,32,9,2022-06-15 10:00:00,attended,2022-06-15 10:26:00,2022-06-10 10:00:00,1
33,20,33,8,2022-05-27 10:00:00,attended,2022-05-27 10:07:00,2022-05-10 10:00:00,1
34,20,34,8,2022-06-24 10:00:00,attended,2022-06-24 10:23:00,2022-06-14 10:00:00,1
35,20,35,1,2025-06-08 10:00:00,attended,2025-06-08 10:06:00,2025-05-21 10:00:00,1
36,21,36,1,2024-04-21 10:00:00,attended,2024-04-21 10:11:00,2024-04-17 10:00:00,1
37,21,37,3,2024-06-11 10:00:00,attended,2024-06-11 10:26:00,2024-05-18 10:00:00,1
38,22,38,1,2024-01-14 10:00:00,attended,2024-01-14 10:04:00,2023-12-19 10:00:00,1
39,22,39,5,2024-08-01 10:00:00,attended,2024-08-01 10:07:00,2024-07-30 10:00:00,1
40,23,40,2,2023-03-11 10:00:00,attended,2023-03-11 10:14:00,2023-02-16 10:00:00,1
41,24,41,3,2022-10-11 10:00:00,attended,2022-10-11 10:24:00,2022-09-20 10:00:00,1
42,24,42,1,2023-06-18 10:00:00,attended,2023-06-18 10:03:00,2023-06-03 10:00:00,1
43,24,43,1,2021-12-05 10:00:00,attended,2021-12-05 10:15:00,2021-12-04 10:00:00,1
44,24,44,3,2024-10-22 10:00:00,attended,2024-10-22 10:01:00,2024-09-25 10:00:00,1
45,24,45,3,2023-10-10 10:00:00,attended,2023-10-10 10:08:00,2023-10-01 10:00:00,1
46,24,46,1,2022-09-04 10:00:00,attended,2022-09-04 10:12:00,2022-08-16 10:00:00,1
47,25,47,1,2025-03-09 10:00:00,attended,2025-03-09 10:26:00,2025-02-27 10:00:00,1
48,26,48,2,2023-04-15 10:00:00,attended,2023-04-15 10:01:00,2023-04-12 10:00:00,1
49,27,49,1,2023-10-22 10:00:00,attended,2023-10-22 10:27:00,2023-10-13 10:00:00,1
50,27,5,1,2023-08-27 10:00:00,attended,2023-08-27 10:12:00,2023-08-07 10:00:00,1
51,28,50,1,2023-05-07 10:00:00,attended,2023-05-07 10:00:00,2023-04-21 10:00:00,1
52,29,51,3,2023-05-16 10:00:00,attended,2023-05-16 10:12:00,2023-04-18 10:00:00,1
53,29,52,7,2023-03-15 10:00:00,attended,2023-03-15 10:14:00,2023-03-02 10:00:00,1
54,29,53,8,2024-12-27 10:00:00,attended,2024-12-27 10:07:00,2024-12-25 10:00:00,1
55,29,54,7,2022-12-15 10:00:00,attended,2022-12-15 10:12:00,2022-12-08 10:00:00,1
56,29,55,8,2025-05-09 10:00:00,attended,2025-05-09 10:21:00,2025-05-03 10:00:00,1
57,29,56,3,2025-05-13 10:00:00,attended,2025-05-13 10:17:00,2025-04-29 10:00:00,1
58,29,57,1,2023-08-20 10:00:00,attended,2023-08-20 10:21:00,2023-08-18 10:00:00,1
59,30,58,1,2023-10-01 10:00:00,attended,2023-10-01 10:01:00,2023-09-21 10:00:00,1
60,31,59,5,2025-09-04 10:00:00,attended,2025-09-04 10:24:00,2025-08-17 10:00:00,1
61,32,60,2,2024-04-27 10:00:00,attended,2024-04-27 10:29:00,2024-04-15 10:00:00,1
62,32,61,2,2023-03-04 10:00:00,attended,2023-03-04 10:29:00,2023-03-03 10:00:00,1
63,32,62,3,2024-08-06 10:00:00,attended,2024-08-06 10:24:00,2024-07-17 10:00:00,1
64,33,63,8,2025-02-28 10:00:00,cancelled,,2025-01-30 10:00:00,0
65,34,64,1,2024-05-12 10:00:00,attended,2024-05-12 10:29:00,2024-04-15 10:00:00,1
66,35,65,1,2025-11-02 10:00:00,attended,2025-11-02 10:25:00,2025-10-24 10:00:00,1
67,36,66,3,2022-09-27 10:00:00,attended,2022-09-27 10:18:00,2022-09-02 10:00:00,1
68,36,67,6,2025-09-24 10:00:00,attended,2025-09-24 10:24:00,2025-09-17 10:00:00,1
69,37,68,3,2024-10-15 10:00:00,attended,2024-10-15 10:10:00,2024-10-14 10:00:00,1
70,37,69,2,2022-09-24 10:00:00,attended,2022-09-24 10:26:00,2022-08-31 10:00:00,1
71,37,70,1,2021-11-14 10:00:00,attended,2021-11-14 10:13:00,2021-10-25 10:00:00,1
72,38,8,1,2025-10-05 10:00:00,attended,2025-10-05 10:13:00,2025-09-07 10:00:00,1
73,39,71,6,2023-05-31 10:00:00,attended,2023-05-31 10:23:00,2023-05-05 10:00:00,1
74,40,72,1,2025-07-20 10:00:00,attended,2025-07-20 10:24:00,2025-06-26 10:00:00,1
75,41,73,1,2024-06-09 10:00:00,attended,2024-06-09 10:25:00,2024-06-07 10:00:00,1
76,42,74,2,2021-12-04 10:00:00,attended,2021-12-04 10:17:00,2021-11-30 10:00:00,1
77,43,75,6,2025-08-13 10:00:00,attended,2025-08-13 10:23:00,2025-07-31 10:00:00,1
78,43,76,8,2023-03-24 10:00:00,attended,2023-03-24 10:09:00,2023-03-02 10:00:00,1
79,44,77,8,2024-04-26 10:00:00,attended,2024-04-26 10:17:00,2024-03-29 10:00:00,1
80,45,78,4,2024-02-15 10:00:00,attended,2024-02-15 10:13:00,2024-01-31 10:00:00,1
81,45,79,6,2023-08-30 10:00:00,attended,2023-08-30 10:23:00,2023-08-11 10:00:00,1
82,45,80,1,2025-08-31 10:00:00,attended,2025-08-31 10:24:00,2025-08-12 10:00:00,1
83,46,81,6,2025-10-29 10:00:00,attended,2025-10-29 10:08:00,2025-10-12 10:00:00,1
84,47,82,8,2025-02-14 10:00:00,attended,2025-02-14 10:12:00,2025-02-08 10:00:00,1
85,48,83,6,2025-04-23 10:00:00,attended,2025-04-23 10:23:00,2025-04-08 10:00:00,1
86,49,84,6,2022-02-09 10:00:00,attended,2022-02-09 10:04:00,2022-02-01 10:00:00,1
87,50,85,5,2024-04-11 10:00:00,attended,2024-04-11 10:08:00,2024-04-10 10:00:00,1
88,51,86,2,2023-08-19 10:00:00,attended,2023-08-19 10:21:00,2023-07-24 10:00:00,1
89,52,87,1,2024-09-29 10:00:00,attended,2024-09-29 10:02:00,2024-09-20 10:00:00,1
90,52,42,1,2023-06-18 10:00:00,attended,2023-06-18 10:24:00,2023-06-10 10:00:00,1
91,53,88,6,2024-04-10 10:00:00,attended,2024-04-10 10:09:00,2024-03-23 10:00:00,1
92,54,89,1,2023-03-12 10:00:00,attended,2023-03-12 10:18:00,2023-03-01 10:00:00,1
93,55,90,3,2024-02-20 10:00:00,no-show,,2024-02-07 10:00:00,0
94,56,91,3,2025-02-18 10:00:00,attended,2025-02-18 10:08:00,2025-01-29 10:00:00,1
95,56,92,1,2025-10-12 10:00:00,attended,2025-10-12 10:08:00,2025-09-30 10:00:00,1
96,57,93,1,2022-09-25 10:00:00,attended,2022-09-25 10:08:00,2022-09-03 10:00:00,1
97,57,94,1,2022-12-18 10:00:00,attended,2022-12-18 10:20:00,2022-11-22 10:00:00,1
98,58,95,10,2022-07-15 10:00:00,attended,2022-07-15 10:24:00,2022-06-19 10:00:00,1
99,58,96,1,2022-11-13 10:00:00,attended,2022-11-13 10:00:00,2022-10-24 10:00:00,1
100,58,97,10,2022-02-15 10:00:00,attended,2022-02-15 10:09:00,2022-02-11 10:00:00,1
101,58,98,5,2025-06-12 10:00:00,attended,2025-06-12 10:21:00,2025-05-24 10:00:00,1
102,58,99,5,2023-06-29 10:00:00,attended,2023-06-29 10:26:00,2023-06-18 10:00:00,1
103,58,100,5,2024-03-28 10:00:00,attended,2024-03-28 10:27:00,2024-03-19 10:00:00,1
104,58,101,1,2024-07-21 10:00:00,attended,2024-07-21 10:14:00,2024-07-15 10:00:00,1
105,59,102,5,2025-02-13 10:00:00,no-show,,2025-01-29 10:00:00,0
106,59,103,5,2023-11-02 10:00:00,attended,2023-11-02 10:00:00,2023-10-18 10:00:00,1
107,60,104,1,2025-01-26 10:00:00,attended,2025-01-26 10:01:00,2025-01-11 10:00:00,1
108,60,105,1,2022-05-01 10:00:00,attended,2022-05-01 10:15:00,2022-04-19 10:00:00,1
109,61,106,3,2025-02-04 10:00:00,attended,2025-02-04 10:27:00,2025-01-14 10:00:00,1
110,62,107,5,2025-08-14 10:00:00,attended,2025-08-14 10:06:00,2025-07-27 10:00:00,1
111,63,108,1,2024-03-10 10:00:00,attended,2024-03-10 10:01:00,2024-02-25 10:00:00,1
112,64,109,1,2024-08-18 10:00:00,attended,2024-08-18 10:02:00,2024-07-30 10:00:00,1
113,64,110,2,2022-08-13 10:00:00,attended,2022-08-13 10:28:00,2022-08-04 10:00:00,1
114,64,111,2,2025-08-23 10:00:00,attended,2025-08-23 10:17:00,2025-08-03 10:00:00,1
115,65,112,3,2022-11-01 10:00:00,attended,2022-11-01 10:02:00,2022-10-21 10:00:00,1
116,66,113,6,2022-10-12 10:00:00,attended,2022-10-12 10:05:00,2022-09-27 10:00:00,1
117,66,114,3,2025-08-05 10:00:00,attended,2025-08-05 10:24:00,2025-07-27 10:00:00,1
118,67,115,6,2022-03-16 10:00:00,attended,2022-03-16 10:08:00,2022-02-18 10:00:00,1
119,68,116,1,2025-09-21 10:00:00,attended,2025-09-21 10:27:00,2025-09-12 10:00:00,1
120,69,117,1,2022-02-27 10:00:00,attended,2022-02-27 10:04:00,2022-02-11 10:00:00,1
121,70,118,1,2025-07-27 10:00:00,attended,2025-07-27 10:20:00,2025-07-19 10:00:00,1
122,71,119,3,2023-02-28 10:00:00,attended,2023-02-28 10:04:00,2023-02-22 10:00:00,1
123,72,120,5,2023-09-28 10:00:00,attended,2023-09-28 10:19:00,2023-08-31 10:00:00,1
124,73,121,1,2025-06-01 10:00:00,attended,2025-06-01 10:01:00,2025-05-11 10:00:00,1
125,74,122,5,2024-02-08 10:00:00,attended,2024-02-08 10:03:00,2024-01-31 10:00:00,1
126,74,123,8,2021-12-03 10:00:00,attended,2021-12-03 10:01:00,2021-11-12 10:00:00,1
127,75,124,6,2024-11-20 10:00:00,attended,2024-11-20 10:21:00,2024-11-14 10:00:00,1
128,76,125,2,2025-04-19 10:00:00,attended,2025-04-19 10:27:00,2025-04-02 10:00:00,1
129,77,126,6,2025-01-29 10:00:00,cancelled,,2025-01-14 10:00:00,0
130,78,35,1,2025-06-08 10:00:00,attended,2025-06-08 10:17:00,2025-06-06 10:00:00,1
131,78,127,1,2025-05-25 10:00:00,attended,2025-05-25 10:07:00,2025-05-02 10:00:00,1
132,78,128,3,2024-04-02 10:00:00,attended,2024-04-02 10:22:00,2024-03-31 10:00:00,1
133,78,129,3,2023-07-11 10:00:00,cancelled,,2023-07-02 10:00:00,0
134,78,130,1,2025-06-15 10:00:00,attended,2025-06-15 10:21:00,2025-06-14 10:00:00,1
135,79,131,3,2022-06-07 10:00:00,attended,2022-06-07 10:27:00,2022-05-10 10:00:00,1
136,80,132,10,2025-09-15 10:00:00,attended,2025-09-15 10:11:00,2025-08-18 10:00:00,1
137,81,133,1,2023-10-08 10:00:00,attended,2023-10-08 10:22:00,2023-09-20 10:00:00,1
138,82,134,5,2023-07-06 10:00:00,attended,2023-07-06 10:19:00,2023-07-04 10:00:00,1
139,82,127,1,2025-05-25 10:00:00,attended,2025-05-25 10:11:00,2025-05-17 10:00:00,1
140,83,135,1,2022-08-21 10:00:00,attended,2022-08-21 10:02:00,2022-08-17 10:00:00,1
141,84,136,1,2025-09-14 10:00:00,attended,2025-09-14 10:14:00,2025-08-28 10:00:00,1
142,85,137,1,2022-12-11 10:00:00,attended,2022-12-11 10:16:00,2022-12-07 10:00:00,1
143,86,138,1,2022-11-06 10:00:00,attended,2022-11-06 10:07:00,2022-11-03 10:00:00,1
144,87,139,1,2023-10-15 10:00:00,attended,2023-10-15 10:10:00,2023-10-08 10:00:00,1
145,87,140,2,2024-07-13 10:00:00,attended,2024-07-13 10:11:00,2024-06-24 10:00:00,1
146,87,141,2,2023-10-28 10:00:00,attended,2023-10-28 10:26:00,2023-10-01 10:00:00,1
147,88,134,5,2023-07-06 10:00:00,attended,2023-07-06 10:13:00,2023-06-14 10:00:00,1
148,89,30,2,2025-05-03 10:00:00,attended,2025-05-03 10:20:00,2025-04-30 10:00:00,1
149,89,142,3,2023-08-29 10:00:00,cancelled,,2023-08-15 10:00:00,0
150,90,143,7,2021-12-15 10:00:00,attended,2021-12-15 10:00:00,2021-12-10 10:00:00,1
151,91,34,8,2022-06-24 10:00:00,attended,2022-06-24 10:19:00,2022-06-13 10:00:00,1
152,91,144,6,2023-01-25 10:00:00,cancelled,,2022-12-30 10:00:00,0
153,91,30,2,2025-05-03 10:00:00,attended,2025-05-03 10:13:00,2025-04-22 10:00:00,1
154,91,145,9,2023-06-15 10:00:00,attended,2023-06-15 10:20:00,2023-05-17 10:00:00,1
155,92,146,2,2023-04-22 10:00:00,attended,2023-04-22 10:15:00,2023-04-10 10:00:00,1
156,92,147,2,2025-01-04 10:00:00,attended,2025-01-04 10:19:00,2024-12-25 10:00:00,1
157,92,46,1,2022-09-04 10:00:00,no-show,,2022-09-03 10:00:00,0
158,92,148,8,2022-03-25 10:00:00,attended,2022-03-25 10:01:00,2022-03-13 10:00:00,1
159,92,149,4,2024-04-15 10:00:00,attended,2024-04-15 10:29:00,2024-04-05 10:00:00,1
160,92,150,3,2025-10-28 10:00:00,attended,2025-10-28 10:29:00,2025-10-23 10:00:00,1
161,92,151,6,2024-08-14 10:00:00,no-show,,2024-07-26 10:00:00,0
162,92,152,8,2022-05-13 10:00:00,attended,2022-05-13 10:19:00,2022-05-09 10:00:00,1
163,92,153,2,2022-04-09 10:00:00,attended,2022-04-09 10:25:00,2022-04-02 10:00:00,1
164,92,154,6,2021-12-01 10:00:00,attended,2021-12-01 10:16:00,2021-11-20 10:00:00,1
165,93,155,6,2025-02-05 10:00:00,attended,2025-02-05 10:24:00,2025-01-13 10:00:00,1
166,94,156,1,2025-03-16 10:00:00,attended,2025-03-16 10:16:00,2025-02-20 10:00:00,1
167,95,157,8,2022-01-14 10:00:00,attended,2022-01-14 10:18:00,2021-12-19 10:00:00,1
168,96,158,6,2024-05-22 10:00:00,attended,2024-05-22 10:11:00,2024-04-29 10:00:00,1
169,96,159,3,2021-12-28 10:00:00,attended,2021-12-28 10:12:00,2021-12-21 10:00:00,1
170,97,160,8,2023-01-20 10:00:00,attended,2023-01-20 10:18:00,2022-12-24 10:00:00,1
171,98,161,1,2025-09-28 10:00:00,attended,2025-09-28 10:21:00,2025-09-26 10:00:00,1
172,98,162,1,2024-10-20 10:00:00,attended,2024-10-20 10:04:00,2024-09-26 10:00:00,1
173,98,163,5,2025-08-21 10:00:00,attended,2025-08-21 10:24:00,2025-08-08 10:00:00,1
174,99,164,6,2022-10-05 10:00:00,attended,2022-10-05 10:02:00,2022-09-14 10:00:00,1
175,99,165,3,2022-05-24 10:00:00,no-show,,2022-05-21 10:00:00,0
176,99,166,3,2023-04-18 10:00:00,attended,2023-04-18 10:16:00,2023-03-30 10:00:00,1
177,100,167,3,2023-01-10 10:00:00,attended,2023-01-10 10:20:00,2022-12-22 10:00:00,1
178,100,168,8,2023-09-08 10:00:00,attended,2023-09-08 10:23:00,2023-08-21 10:00:00,1
179,100,169,2,2025-05-31 10:00:00,no-show,,2025-05-17 10:00:00,0
180,101,170,1,2023-02-05 10:00:00,attended,2023-02-05 10:28:00,2023-01-08 10:00:00,1
181,102,171,5,2023-08-03 10:00:00,attended,2023-08-03 10:25:00,2023-07-17 10:00:00,1
182,103,172,1,2023-01-01 10:00:00,attended,2023-01-01 10:19:00,2022-12-30 10:00:00,1
183,104,173,1,2022-10-30 10:00:00,attended,2022-10-30 10:21:00,2022-10-14 10:00:00,1
184,104,174,3,2023-03-21 10:00:00,attended,2023-03-21 10:16:00,2023-03-04 10:00:00,1
185,105,175,2,2023-12-02 10:00:00,attended,2023-12-02 10:10:00,2023-11-17 10:00:00,1
186,105,176,2,2024-03-02 10:00:00,attended,2024-03-02 10:06:00,2024-02-22 10:00:00,1
187,105,177,2,2025-09-27 10:00:00,attended,2025-09-27 10:18:00,2025-08-31 10:00:00,1
188,106,178,1,2024-03-17 10:00:00,attended,2024-03-17 10:29:00,2024-03-07 10:00:00,1
189,107,179,1,2024-06-30 10:00:00,attended,2024-06-30 10:10:00,2024-06-22 10:00:00,1
190,108,180,2,2024-08-03 10:00:00,attended,2024-08-03 10:25:00,2024-07-26 10:00:00,1
191,109,181,3,2022-11-15 10:00:00,attended,2022-11-15 10:11:00,2022-10-21 10:00:00,1
192,109,182,8,2023-12-15 10:00:00,attended,2023-12-15 10:14:00,2023-12-07 10:00:00,1
193,110,183,5,2023-10-12 10:00:00,attended,2023-10-12 10:23:00,2023-10-01 10:00:00,1
194,110,184,6,2025-07-09 10:00:00,attended,2025-07-09 10:22:00,2025-07-05 10:00:00,1
195,111,185,6,2025-06-18 10:00:00,attended,2025-06-18 10:14:00,2025-06-10 10:00:00,1
196,112,186,1,2022-06-19 10:00:00,attended,2022-06-19 10:28:00,2022-05-26 10:00:00,1
197,113,187,6,2023-10-04 10:00:00,attended,2023-10-04 10:11:00,2023-09-20 10:00:00,1
198,113,15,1,2024-06-16 10:00:00,attended,2024-06-16 10:11:00,2024-06-13 10:00:00,1
199,114,188,5,2022-07-07 10:00:00,attended,2022-07-07 10:16:00,2022-06-19 10:00:00,1
200,115,189,8,2021-11-19 10:00:00,attended,2021-11-19 10:29:00,2021-11-16 10:00:00,1
201,115,190,10,2023-09-15 10:00:00,attended,2023-09-15 10:20:00,2023-09-03 10:00:00,1
202,116,191,1,2023-11-26 10:00:00,attended,2023-11-26 10:19:00,2023-11-10 10:00:00,1
203,116,192,7,2024-10-15 10:00:00,attended,2024-10-15 10:14:00,2024-10-07 10:00:00,1
204,117,173,1,2022-10-30 10:00:00,cancelled,,2022-10-04 10:00:00,0
205,118,5,1,2023-08-27 10:00:00,attended,2023-08-27 10:18:00,2023-08-19 10:00:00,1
206,119,193,5,2022-04-14 10:00:00,attended,2022-04-14 10:26:00,2022-03-18 10:00:00,1
207,120,194,3,2022-06-14 10:00:00,attended,2022-06-14 10:29:00,2022-06-09 10:00:00,1
208,120,195,8,2023-04-28 10:00:00,no-show,,2023-04-10 10:00:00,0
209,120,196,2,2022-05-21 10:00:00,attended,2022-05-21 10:29:00,2022-04-26 10:00:00,1
210,120,197,8,2025-07-04 10:00:00,attended,2025-07-04 10:21:00,2025-06-20 10:00:00,1
211,121,198,3,2021-11-30 10:00:00,attended,2021-11-30 10:21:00,2021-11-11 10:00:00,1
212,121,179,1,2024-06-30 10:00:00,attended,2024-06-30 10:19:00,2024-06-25 10:00:00,1
213,121,199,2,2025-06-21 10:00:00,attended,2025-06-21 10:25:00,2025-06-12 10:00:00,1
214,121,200,3,2025-03-25 10:00:00,attended,2025-03-25 10:10:00,2025-03-15 10:00:00,1
215,121,201,3,2022-01-11 10:00:00,attended,2022-01-11 10:03:00,2021-12-31 10:00:00,1
216,121,202,6,2022-05-25 10:00:00,attended,2022-05-25 10:13:00,2022-05-22 10:00:00,1
217,121,203,6,2022-07-06 10:00:00,attended,2022-07-06 10:16:00,2022-06-22 10:00:00,1
218,121,204,2,2024-06-01 10:00:00,attended,2024-06-01 10:18:00,2024-05-27 10:00:00,1
219,121,205,2,2024-05-11 10:00:00,attended,2024-05-11 10:20:00,2024-04-25 10:00:00,1
220,122,206,5,2023-03-16 10:00:00,attended,2023-03-16 10:24:00,2023-02-15 10:00:00,1
221,122,207,8,2025-01-31 10:00:00,attended,2025-01-31 10:28:00,2025-01-24 10:00:00,1
222,122,139,1,2023-10-15 10:00:00,attended,2023-10-15 10:28:00,2023-10-09 10:00:00,1
223,123,53,8,2024-12-27 10:00:00,attended,2024-12-27 10:00:00,2024-12-12 10:00:00,1
224,124,208,3,2022-02-15 10:00:00,attended,2022-02-15 10:03:00,2022-02-09 10:00:00,1
225,125,209,1,2023-05-14 10:00:00,attended,2023-05-14 10:08:00,2023-04-30 10:00:00,1
226,126,210,8,2025-08-15 10:00:00,attended,2025-08-15 10:17:00,2025-07-21 10:00:00,1
227,127,211,10,2024-10-15 10:00:00,attended,2024-10-15 10:29:00,2024-09-22 10:00:00,1
228,128,212,3,2025-07-15 10:00:00,attended,2025-07-15 10:23:00,2025-06-29 10:00:00,1
229,128,111,2,2025-08-23 10:00:00,attended,2025-08-23 10:04:00,2025-08-19 10:00:00,1
230,128,213,2,2025-01-25 10:00:00,attended,2025-01-25 10:01:00,2024-12-28 10:00:00,1
231,128,214,6,2025-04-16 10:00:00,attended,2025-04-16 10:13:00,2025-03-20 10:00:00,1
232,129,215,3,2023-12-12 10:00:00,attended,2023-12-12 10:22:00,2023-12-11 10:00:00,1
233,130,216,1,2022-10-02 10:00:00,attended,2022-10-02 10:02:00,2022-09-26 10:00:00,1
234,131,217,5,2024-08-29 10:00:00,attended,2024-08-29 10:16:00,2024-08-24 10:00:00,1
235,132,218,1,2023-06-25 10:00:00,attended,2023-06-25 10:16:00,2023-05-28 10:00:00,1
236,133,219,10,2022-12-15 10:00:00,attended,2022-12-15 10:28:00,2022-12-02 10:00:00,1
237,134,220,2,2023-07-15 10:00:00,attended,2023-07-15 10:11:00,2023-07-01 10:00:00,1
238,135,221,1,2024-09-01 10:00:00,attended,2024-09-01 10:12:00,2024-08-27 10:00:00,1
239,136,222,2,2022-05-14 10:00:00,no-show,,2022-04-21 10:00:00,0
240,137,223,3,2024-05-21 10:00:00,attended,2024-05-21 10:09:00,2024-04-28 10:00:00,1
241,138,224,5,2022-11-10 10:00:00,attended,2022-11-10 10:10:00,2022-11-06 10:00:00,1
242,139,225,2,2022-03-05 10:00:00,attended,2022-03-05 10:26:00,2022-02-04 10:00:00,1
243,140,226,1,2022-03-06 10:00:00,attended,2022-03-06 10:10:00,2022-02-05 10:00:00,1
244,141,227,6,2023-10-11 10:00:00,attended,2023-10-11 10:19:00,2023-09-22 10:00:00,1
245,141,228,6,2025-07-16 10:00:00,attended,2025-07-16 10:03:00,2025-06-26 10:00:00,1
246,141,229,2,2022-09-03 10:00:00,attended,2022-09-03 10:01:00,2022-08-10 10:00:00,1
247,142,230,10,2024-07-15 10:00:00,attended,2024-07-15 10:23:00,2024-07-12 10:00:00,1
248,143,231,3,2024-09-24 10:00:00,attended,2024-09-24 10:14:00,2024-09-12 10:00:00,1
249,144,232,5,2024-09-19 10:00:00,attended,2024-09-19 10:20:00,2024-09-05 10:00:00,1
250,145,233,8,2025-06-20 10:00:00,attended,2025-06-20 10:23:00,2025-06-05 10:00:00,1
251,145,234,7,2024-11-15 10:00:00,attended,2024-11-15 10:13:00,2024-10-19 10:00:00,1
252,146,235,1,2022-01-16 10:00:00,attended,2022-01-16 10:24:00,2022-01-06 10:00:00,1
253,147,236,3,2024-06-04 10:00:00,attended,2024-06-04 10:22:00,2024-05-19 10:00:00,1
254,147,237,3,2023-01-24 10:00:00,no-show,,2023-01-19 10:00:00,0
255,148,238,8,2022-06-10 10:00:00,attended,2022-06-10 10:24:00,2022-05-17 10:00:00,1
256,149,239,6,2024-01-31 10:00:00,no-show,,2024-01-12 10:00:00,0
257,149,240,11,2025-06-15 10:00:00,attended,2025-06-15 10:28:00,2025-06-10 10:00:00,1
258,149,241,5,2023-01-26 10:00:00,attended,2023-01-26 10:18:00,2023-01-25 10:00:00,1
259,150,242,5,2025-01-09 10:00:00,attended,2025-01-09 10:11:00,2024-12-21 10:00:00,1
260,151,243,10,2025-06-15 10:00:00,attended,2025-06-15 10:20:00,2025-05-24 10:00:00,1
261,152,244,4,2025-04-15 10:00:00,cancelled,,2025-03-31 10:00:00,0
262,153,245,3,2025-08-12 10:00:00,attended,2025-08-12 10:14:00,2025-08-01 10:00:00,1
263,153,246,7,2025-06-15 10:00:00,cancelled,,2025-06-09 10:00:00,0
264,154,247,2,2024-08-31 10:00:00,attended,2024-08-31 10:03:00,2024-08-06 10:00:00,1
265,155,248,6,2023-09-13 10:00:00,attended,2023-09-13 10:09:00,2023-09-05 10:00:00,1
266,156,249,5,2022-06-09 10:00:00,attended,2022-06-09 10:10:00,2022-05-24 10:00:00,1
267,157,250,2,2023-12-30 10:00:00,attended,2023-12-30 10:18:00,2023-12-28 10:00:00,1
268,158,251,6,2025-01-22 10:00:00,cancelled,,2025-01-05 10:00:00,0
269,159,252,7,2024-07-15 10:00:00,attended,2024-07-15 10:10:00,2024-07-05 10:00:00,1
270,160,253,2,2023-07-08 10:00:00,attended,2023-07-08 10:10:00,2023-06-25 10:00:00,1
