EventDetailsID,EventID,EventDateTimeStart,EventLocation,EventDateTimeEnd,EventCapacity,EventRegistrationDeadline
51,3,2023-05-16 10:00:00,Local Library,2023-05-16 12:00:00,100,2023-05-09 10:00:00
52,7,2023-03-15 10:00:00,Local Library,2023-03-15 12:00:00,100,2023-03-08 10:00:00
53,8,2024-12-27 10:00:00,Local Library,2024-12-27 12:00:00,100,2024-12-20 10:00:00
54,7,2022-12-15 10:00:00,Ella Rises HQ,2022-12-15 12:00:00,100,2022-12-08 10:00:00
55,8,2025-05-09 10:00:00,Virtual Zoom,2025-05-09 12:00:00,100,2025-05-02 10:00:00
56,3,2025-05-13 10:00:00,Local Library,2025-05-13 12:00:00,100,2025-05-06 10:00:00
57,1,2023-08-20 10:00:00,Art Studio 2,2023-08-20 12:00:00,100,2023-08-13 10:00:00
58,1,2023-10-01 10:00:00,Local Library,2023-10-01 12:00:00,100,2023-09-24 10:00:00
59,5,2025-09-04 10:00:00,Local Library,2025-09-04 12:00:00,100,2025-08-28 10:00:00
60,2,2024-04-27 10:00:00,Ella Rises HQ,2024-04-27 12:00:00,100,2024-04-20 10:00:00
61,2,2023-03-04 10:00:00,Local Library,2023-03-04 12:00:00,100,2023-02-25 10:00:00
62,3,2024-08-06 10:00:00,Local Library,2024-08-06 12:00:00,100,2024-07-30 10:00:00
63,8,2025-02-28 10:00:00,Community Center Room A,2025-02-28 12:00:00,100,2025-02-21 10:00:00
64,1,2024-05-12 10:00:00,Community Center Room A,2024-05-12 12:00:00,100,2024-05-05 10:00:00
65,1,2025-11-02 10:00:00,Community Center Room A,2025-11-02 12:00:00,100,2025-10-26 10:00:00
66,3,2022-09-27 10:00:00,Art Studio 2,2022-09-27 12:00:00,100,2022-09-20 10:00:00
67,6,2025-09-24 10:00:00,Local Library,2025-09-24 12:00:00,100,2025-09-17 10:00:00
68,3,2024-10-15 10:00:00,Ella Rises HQ,2024-10-15 12:00:00,100,2024-10-08 10:00:00
69,2,2022-09-24 10:00:00,Local Library,2022-09-24 12:00:00,100,2022-09-17 10:00:00
70,1,2021-11-14 10:00:00,Art Studio 2,2021-11-14 12:00:00,100,2021-11-07 10:00:00
71,6,2023-05-31 10:00:00,Ella Rises HQ,2023-05-31 12:00:00,100,2023-05-24 10:00:00
72,1,2025-07-20 10:00:00,Community Center Room A,2025-07-20 12:00:00,100,2025-07-13 10:00:00
73,1,2024-06-09 10:00:00,Local Library,2024-06-09 12:00:00,100,2024-06-02 10:00:00
74,2,2021-12-04 10:00:00,Local Library,2021-12-04 12:00:00,100,2021-11-27 10:00:00
75,6,2025-08-13 10:00:00,Art Studio 2,2025-08-13 12:00:00,100,2025-08-06 10:00:00
76,8,2023-03-24 10:00:00,Virtual Zoom,2023-03-24 12:00:00,100,2023-03-17 10:00:00
77,8,2024-04-26 10:00:00,Community Center Room A,2024-04-26 12:00:00,100,2024-04-19 10:00:00
78,4,2024-02-15 10:00:00,Ella Rises HQ,2024-02-15 12:00:00,100,2024-02-08 10:00:00
79,6,2023-08-30 10:00:00,Ella Rises HQ,2023-08-30 12:00:00,100,2023-08-23 10:00:00
80,1,2025-08-31 10:00:00,Community Center Room A,2025-08-31 12:00:00,100,2025-08-24 10:00:00
81,6,2025-10-29 10:00:00,Local Library,2025-10-29 12:00:00,100,2025-10-22 10:00:00
82,8,2025-02-14 10:00:00,Community Center Room A,2025-02-14 12:00:00,100,2025-02-07 10:00:00
83,6,2025-04-23 10:00:00,Virtual Zoom,2025-04-23 12:00:00,100,2025-04-16 10:00:00
84,6,2022-02-09 10:00:00,Community Center Room A,2022-02-09 12:00:00,100,2022-02-02 10:00:00
85,5,2024-04-11 10:00:00,Community Center Room A,2024-04-11 12:00:00,100,2024-04-04 10:00:00
86,2,2023-08-19 10:00:00,Virtual Zoom,2023-08-19 12:00:00,100,2023-08-12 10:00:00
87,1,2024-09-29 10:00:00,Virtual Zoom,2024-09-29 12:00:00,100,2024-09-22 10:00:00
88,6,2024-04-10 10:00:00,Ella Rises HQ,2024-04-10 12:00:00,100,2024-04-03 10:00:00
89,1,2023-03-12 10:00:00,Ella Rises HQ,2023-03-12 12:00:00,100,2023-03-05 10:00:00
90,3,2024-02-20 10:00:00,Art Studio 2,2024-02-20 12:00:00,100,2024-02-13 10:00:00
91,3,2025-02-18 10:00:00,Ella Rises HQ,2025-02-18 12:00:00,100,2025-02-11 10:00:00
92,1,2025-10-12 10:00:00,Local Library,2025-10-12 12:00:00,100,2025-10-05 10:00:00
93,1,2022-09-25 10:00:00,Local Library,2022-09-25 12:00:00,100,2022-09-18 10:00:00
94,1,2022-12-18 10:00:00,Community Center Room A,2022-12-18 12:00:00,100,2022-12-11 10:00:00
95,10,2022-07-15 10:00:00,Local Library,2022-07-15 12:00:00,100,2022-07-08 10:00:00
96,1,2022-11-13 10:00:00,Ella Rises HQ,2022-11-13 12:00:00,100,2022-11-06 10:00:00
97,10,2022-02-15 10:00:00,Virtual Zoom,2022-02-15 12:00:00,100,2022-02-08 10:00:00
98,5,2025-06-12 10:00:00,Art Studio 2,2025-06-12 12:00:00,100,2025-06-05 10:00:00
99,5,2023-06-29 10:00:00,Virtual Zoom,2023-06-29 12:00:00,100,2023-06-22 10:00:00
100,5,2024-03-28 10:00:00,Community Center Room A,2024-03-28 12:00:00,100,2024-03-21 10:00:00
101,1,2024-07-21 10:00:00,Community Center Room A,2024-07-21 12:00:00,100,2024-07-14 10:00:00
102,5,2025-02-13 10:00:00,Art Studio 2,2025-02-13 12:00:00,100,2025-02-06 10:00:00
103,5,2023-11-02 10:00:00,Community Center Room A,2023-11-02 12:00:00,100,2023-10-26 10:00:00
104,1,2025-01-26 10:00:00,Art Studio 2,2025-01-26 12:00:00,100,2025-01-19 10:00:00
105,1,2022-05-01 10:00:00,Community Center Room A,2022-05-01 12:00:00,100,2022-04-24 10:00:00
106,3,2025-02-04 10:00:00,Ella Rises HQ,2025-02-04 12:00:00,100,2025-01-28 10:00:00
107,5,2025-08-14 10:00:00,Community Center Room A,2025-08-14 12:00:00,100,2025-08-07 10:00:00
108,1,2024-03-10 10:00:00,Art Studio 2,2024-03-10 12:00:00,100,2024-03-03 10:00:00
109,1,2024-08-18 10:00:00,Art Studio 2,2024-08-18 12:00:00,100,2024-08-11 10:00:00
110,2,2022-08-13 10:00:00,Ella Rises HQ,2022-08-13 12:00:00,100,2022-08-06 10:00:00
111,2,2025-08-23 10:00:00,Local Library,2025-08-23 12:00:00,100,2025-08-16 10:00:00
112,3,2022-11-01 10:00:00,Local Library,2022-11-01 12:00:00,100,2022-10-25 10:00:00
113,6,2022-10-12 10:00:00,Community Center Room A,2022-10-12 12:00:00,100,2022-10-05 10:00:00
114,3,2025-08-05 10:00:00,Local Library,2025-08-05 12:00:00,100,2025-07-29 10:00:00
115,6,2022-03-16 10:00:00,Virtual Zoom,2022-03-16 12:00:00,100,2022-03-09 10:00:00
116,1,2025-09-21 10:00:00,Local Library,2025-09-21 12:00:00,100,2025-09-14 10:00:00
117,1,2022-02-27 10:00:00,Virtual Zoom,2022-02-27 12:00:00,100,2022-02-20 10:00:00
118,1,2025-07-27 10:00:00,Community Center Room A,2025-07-27 12:00:00,100,2025-07-20 10:00:00
119,3,2023-02-28 10:00:00,Local Library,2023-02-28 12:00:00,100,2023-02-21 10:00:00
120,5,2023-09-28 10:00:00,Virtual Zoom,2023-09-28 12:00:00,100,2023-09-21 10:00:00
121,1,2025-06-01 10:00:00,Art Studio 2,2025-06-01 12:00:00,100,2025-05-25 10:00:00
122,5,2024-02-08 10:00:00,Local Library,2024-02-08 12:00:00,100,2024-02-01 10:00:00
123,8,2021-12-03 10:00:00,Art Studio 2,2021-12-03 12:00:00,100,2021-11-26 10:00:00
124,6,2024-11-20 10:00:00,Local Library,2024-11-20 12:00:00,100,2024-11-13 10:00:00
125,2,2025-04-19 10:00:00,Ella Rises HQ,2025-04-19 12:00:00,100,2025-04-12 10:00:00
126,6,2025-01-29 10:00:00,Ella Rises HQ,2025-01-29 12:00:00,100,2025-01-22 10:00:00
127,1,2025-05-25 10:00:00,Art Studio 2,2025-05-25 12:00:00,100,2025-05-18 10:00:00
128,3,2024-04-02 10:00:00,Ella Rises HQ,2024-04-02 12:00:00,100,2024-03-26 10:00:00
129,3,2023-07-11 10:00:00,Local Library,2023-07-11 12:00:00,100,2023-07-04 10:00:00
130,1,2025-06-15 10:00:00,Virtual Zoom,2025-06-15 12:00:00,100,2025-06-08 10:00:00
131,3,2022-06-07 10:00:00,Art Studio 2,2022-06-07 12:00:00,100,2022-05-31 10:00:00
132,10,2025-09-15 10:00:00,Ella Rises HQ,2025-09-15 12:00:00,100,2025-09-08 10:00:00
133,1,2023-10-08 10:00:00,Community Center Room A,2023-10-08 12:00:00,100,2023-10-01 10:00:00
134,5,2023-07-06 10:00:00,Local Library,2023-07-06 12:00:00,100,2023-06-29 10:00:00
135,1,2022-08-21 10:00:00,Art Studio 2,2022-08-21 12:00:00,100,2022-08-14 10:00:00
136,1,2025-09-14 10:00:00,Virtual Zoom,2025-09-14 12:00:00,100,2025-09-07 10:00:00
137,1,2022-12-11 10:00:00,Ella Rises HQ,2022-12-11 12:00:00,100,2022-12-04 10:00:00
138,1,2022-11-06 10:00:00,Local Library,2022-11-06 12:00:00,100,2022-10-30 10:00:00
139,1,2023-10-15 10:00:00,Community Center Room A,2023-10-15 12:00:00,100,2023-10-08 10:00:00
140,2,2024-07-13 10:00:00,Community Center Room A,2024-07-13 12:00:00,100,2024-07-06 10:00:00
141,2,2023-10-28 10:00:00,Ella Rises HQ,2023-10-28 12:00:00,100,2023-10-21 10:00:00
142,3,2023-08-29 10:00:00,Art Studio 2,2023-08-29 12:00:00,100,2023-08-22 10:00:00
143,7,2021-12-15 10:00:00,Community Center Room A,2021-12-15 12:00:00,100,2021-12-08 10:00:00
144,6,2023-01-25 10:00:00,Local Library,2023-01-25 12:00:00,100,2023-01-18 10:00:00
145,9,2023-06-15 10:00:00,Community Center Room A,2023-06-15 12:00:00,100,2023-06-08 10:00:00
146,2,2023-04-22 10:00:00,Virtual Zoom,2023-04-22 12:00:00,100,2023-04-15 10:00:00
147,2,2025-01-04 10:00:00,Community Center Room A,2025-01-04 12:00:00,100,2024-12-28 10:00:00
148,8,2022-03-25 10:00:00,Community Center Room A,2022-03-25 12:00:00,100,2022-03-18 10:00:00
149,4,2024-04-15 10:00:00,Art Studio 2,2024-04-15 12:00:00,100,2024-04-08 10:00:00
150,3,2025-10-28 10:00:00,Ella Rises HQ,2025-10-28 12:00:00,100,2025-10-21 10:00:00
151,6,2024-08-14 10:00:00,Virtual Zoom,2024-08-14 12:00:00,100,2024-08-07 10:00:00
152,8,2022-05-13 10:00:00,Local Library,2022-05-13 12:00:00,100,2022-05-06 10:00:00
153,2,2022-04-09 10:00:00,Community Center Room A,2022-04-09 12:00:00,100,2022-04-02 10:00:00
154,6,2021-12-01 10:00:00,Virtual Zoom,2021-12-01 12:00:00,100,2021-11-24 10:00:00
155,6,2025-02-05 10:00:00,Art Studio 2,2025-02-05 12:00:00,100,2025-01-29 10:00:00
156,1,2025-03-16 10:00:00,Local Library,2025-03-16 12:00:00,100,2025-03-09 10:00:00
157,8,2022-01-14 10:00:00,Virtual Zoom,2022-01-14 12:00:00,100,2022-01-07 10:00:00
158,6,2024-05-22 10:00:00,Art Studio 2,2024-05-22 12:00:00,100,2024-05-15 10:00:00
159,3,2021-12-28 10:00:00,Art Studio 2,2021-12-28 12:00:00,100,2021-12-21 10:00:00
160,8,2023-01-20 10:00:00,Art Studio 2,2023-01-20 12:00:00,100,2023-01-13 10:00:00
161,1,2025-09-28 10:00:00,Ella Rises HQ,2025-09-28 12:00:00,100,2025-09-21 10:00:00
162,1,2024-10-20 10:00:00,Local Library,2024-10-20 12:00:00,100,2024-10-13 10:00:00
163,5,2025-08-21 10:00:00,Virtual Zoom,2025-08-21 12:00:00,100,2025-08-14 10:00:00
164,6,2022-10-05 10:00:00,Art Studio 2,2022-10-05 12:00:00,100,2022-09-28 10:00:00
165,3,2022-05-24 10:00:00,Ella Rises HQ,2022-05-24 12:00:00,100,2022-05-17 10:00:00
166,3,2023-04-18 10:00:00,Local Library,2023-04-18 12:00:00,100,2023-04-11 10:00:00
167,3,2023-01-10 10:00:00,Ella Rises HQ,2023-01-10 12:00:00,100,2023-01-03 10:00:00
168,8,2023-09-08 10:00:00,Art Studio 2,2023-09-08 12:00:00,100,2023-09-01 10:00:00
169,2,2025-05-31 10:00:00,Art Studio 2,2025-05-31 12:00:00,100,2025-05-24 10:00:00
170,1,2023-02-05 10:00:00,Community Center Room A,2023-02-05 12:00:00,100,2023-01-29 10:00:00
171,5,2023-08-03 10:00:00,Art Studio 2,2023-08-03 12:00:00,100,2023-07-27 10:00:00
172,1,2023-01-01 10:00:00,Virtual Zoom,2023-01-01 12:00:00,100,2022-12-25 10:00:00
173,1,2022-10-30 10:00:00,Local Library,2022-10-30 12:00:00,100,2022-10-23 10:00:00
174,3,2023-03-21 10:00:00,Ella Rises HQ,2023-03-21 12:00:00,100,2023-03-14 10:00:00
175,2,2023-12-02 10:00:00,Art Studio 2,2023-12-02 12:00:00,100,2023-11-25 10:00:00
176,2,2024-03-02 10:00:00,Virtual Zoom,2024-03-02 12:00:00,100,2024-02-24 10:00:00
177,2,2025-09-27 10:00:00,Virtual Zoom,2025-09-27 12:00:00,100,2025-09-20 10:00:00
178,1,2024-03-17 10:00:00,Local Library,2024-03-17 12:00:00,100,2024-03-10 10:00:00
179,1,2024-06-30 10:00:00,Local Library,2024-06-30 12:00:00,100,2024-06-23 10:00:00
180,2,2024-08-03 10:00:00,Virtual Zoom,2024-08-03 12:00:00,100,2024-07-27 10:00:00
181,3,2022-11-15 10:00:00,Community Center Room A,2022-11-15 12:00:00,100,2022-11-08 10:00:00
182,8,2023-12-15 10:00:00,Art Studio 2,2023-12-15 12:00:00,100,2023-12-08 10:00:00
183,5,2023-10-12 10:00:00,Community Center Room A,2023-10-12 12:00:00,100,2023-10-05 10:00:00
184,6,2025-07-09 10:00:00,Local Library,2025-07-09 12:00:00,100,2025-07-02 10:00:00
185,6,2025-06-18 10:00:00,Virtual Zoom,2025-06-18 12:00:00,100,2025-06-11 10:00:00
186,1,2022-06-19 10:00:00,Virtual Zoom,2022-06-19 12:00:00,100,2022-06-12 10:00:00
187,6,2023-10-04 10:00:00,Ella Rises HQ,2023-10-04 12:00:00,100,2023-09-27 10:00:00
188,5,2022-07-07 10:00:00,Virtual Zoom,2022-07-07 12:00:00,100,2022-06-30 10:00:00
189,8,2021-11-19 10:00:00,Community Center Room A,2021-11-19 12:00:00,100,2021-11-12 10:00:00
190,10,2023-09-15 10:00:00,Art Studio 2,2023-09-15 12:00:00,100,2023-09-08 10:00:00
191,1,2023-11-26 10:00:00,Art Studio 2,2023-11-26 12:00:00,100,2023-11-19 10:00:00
192,7,2024-10-15 10:00:00,Ella Rises HQ,2024-10-15 12:00:00,100,2024-10-08 10:00:00
193,5,2022-04-14 10:00:00,Art Studio 2,2022-04-14 12:00:00,100,2022-04-07 10:00:00
194,3,2022-06-14 10:00:00,Virtual Zoom,2022-06-14 12:00:00,100,2022-06-07 10:00:00
195,8,2023-04-28 10:00:00,Local Library,2023-04-28 12:00:00,100,2023-04-21 10:00:00
196,2,2022-05-21 10:00:00,Local Library,2022-05-21 12:00:00,100,2022-05-14 10:00:00
197,8,2025-07-04 10:00:00,Ella Rises HQ,2025-07-04 12:00:00,100,2025-06-27 10:00:00
198,3,2021-11-30 10:00:00,Virtual Zoom,2021-11-30 12:00:00,100,2021-11-23 10:00:00
199,2,2025-06-21 10:00:00,Art Studio 2,2025-06-21 12:00:00,100,2025-06-14 10:00:00
200,3,2025-03-25 10:00:00,Ella Rises HQ,2025-03-25 12:00:00,100,2025-03-18 10:00:00
201,3,2022-01-11 10:00:00,Art Studio 2,2022-01-11 12:00:00,100,2022-01-04 10:00:00
202,6,2022-05-25 10:00:00,Ella Rises HQ,2022-05-25 12:00:00,100,2022-05-18 10:00:00
203,6,2022-07-06 10:00:00,Local Library,2022-07-06 12:00:00,100,2022-06-29 10:00:00
204,2,2024-06-01 10:00:00,Community Center Room A,2024-06-01 12:00:00,100,2024-05-25 10:00:00
205,2,2024-05-11 10:00:00,Community Center Room A,2024-05-11 12:00:00,100,2024-05-04 10:00:00
206,5,2023-03-16 10:00:00,Local Library,2023-03-16 12:00:00,100,2023-03-09 10:00:00
207,8,2025-01-31 10:00:00,Ella Rises HQ,2025-01-31 12:00:00,100,2025-01-24 10:00:00
208,3,2022-02-15 10:00:00,Ella Rises HQ,2022-02-15 12:00:00,100,2022-02-08 10:00:00
209,1,2023-05-14 10:00:00,Ella Rises HQ,2023-05-14 12:00:00,100,2023-05-07 10:00:00
210,8,2025-08-15 10:00:00,Ella Rises HQ,2025-08-15 12:00:00,100,2025-08-08 10:00:00
211,10,2024-10-15 10:00:00,Art Studio 2,2024-10-15 12:00:00,100,2024-10-08 10:00:00
212,3,2025-07-15 10:00:00,Virtual Zoom,2025-07-15 12:00:00,100,2025-07-08 10:00:00
213,2,2025-01-25 10:00:00,Community Center Room A,2025-01-25 12:00:00,100,2025-01-18 10:00:00
214,6,2025-04-16 10:00:00,Virtual Zoom,2025-04-16 12:00:00,100,2025-04-09 10:00:00
215,3,2023-12-12 10:00:00,Virtual Zoom,2023-12-12 12:00:00,100,2023-12-05 10:00:00
216,1,2022-10-02 10:00:00,Virtual Zoom,2022-10-02 12:00:00,100,2022-09-25 10:00:00
217,5,2024-08-29 10:00:00,Art Studio 2,2024-08-29 12:00:00,100,2024-08-22 10:00:00
218,1,2023-06-25 10:00:00,Ella Rises HQ,2023-06-25 12:00:00,100,2023-06-18 10:00:00
219,10,2022-12-15 10:00:00,Local Library,2022-12-15 12:00:00,100,2022-12-08 10:00:00
220,2,2023-07-15 10:00:00,Local Library,2023-07-15 12:00:00,100,2023-07-08 10:00:00
221,1,2024-09-01 10:00:00,Community Center Room A,2024-09-01 12:00:00,100,2024-08-25 10:00:00
222,2,2022-05-14 10:00:00,Local Library,2022-05-14 12:00:00,100,2022-05-07 10:00:00
223,3,2024-05-21 10:00:00,Local Library,2024-05-21 12:00:00,100,2024-05-14 10:00:00
224,5,2022-11-10 10:00:00,Community Center Room A,2022-11-10 12:00:00,100,2022-11-03 10:00:00
225,2,2022-03-05 10:00:00,Local Library,2022-03-05 12:00:00,100,2022-02-26 10:00:00
226,1,2022-03-06 10:00:00,Community Center Room A,2022-03-06 12:00:00,100,2022-02-27 10:00:00
227,6,2023-10-11 10:00:00,Local Library,2023-10-11 12:00:00,100,2023-10-04 10:00:00
228,6,2025-07-16 10:00:00,Community Center Room A,2025-07-16 12:00:00,100,2025-07-09 10:00:00
229,2,2022-09-03 10:00:00,Art Studio 2,2022-09-03 12:00:00,100,2022-08-27 10:00:00
230,10,2024-07-15 10:00:00,Community Center Room A,2024-07-15 12:00:00,100,2024-07-08 10:00:00
231,3,2024-09-24 10:00:00,Local Library,2024-09-24 12:00:00,100,2024-09-17 10:00:00
232,5,2024-09-19 10:00:00,Ella Rises HQ,2024-09-19 12:00:00,100,2024-09-12 10:00:00
233,8,2025-06-20 10:00:00,Art Studio 2,2025-06-20 12:00:00,100,2025-06-13 10:00:00
234,7,2024-11-15 10:00:00,Art Studio 2,2024-11-15 12:00:00,100,2024-11-08 10:00:00
235,1,2022-01-16 10:00:00,Local Library,2022-01-16 12:00:00,100,2022-01-09 10:00:00
236,3,2024-06-04 10:00:00,Community Center Room A,2024-06-04 12:00:00,100,2024-05-28 10:00:00
237,3,2023-01-24 10:00:00,Community Center Room A,2023-01-24 12:00:00,100,2023-01-17 10:00:00
238,8,2022-06-10 10:00:00,Ella Rises HQ,2022-06-10 12:00:00,100,2022-06-03 10:00:00
239,6,2024-01-31 10:00:00,Art Studio 2,2024-01-31 12:00:00,100,2024-01-24 10:00:00
240,11,2025-06-15 10:00:00,Community Center Room A,2025-06-15 12:00:00,100,2025-06-08 10:00:00
241,5,2023-01-26 10:00:00,Ella Rises HQ,2023-01-26 12:00:00,100,2023-01-19 10:00:00
242,5,2025-01-09 10:00:00,Art Studio 2,2025-01-09 12:00:00,100,2025-01-02 10:00:00
243,10,2025-06-15 10:00:00,Virtual Zoom,2025-06-15 12:00:00,100,2025-06-08 10:00:00
244,4,2025-04-15 10:00:00,Ella Rises HQ,2025-04-15 12:00:00,100,2025-04-08 10:00:00
245,3,2025-08-12 10:00:00,Ella Rises HQ,2025-08-12 12:00:00,100,2025-08-05 10:00:00
246,7,2025-06-15 10:00:00,Art Studio 2,2025-06-15 12:00:00,100,2025-06-08 10:00:00
247,2,2024-08-31 10:00:00,Virtual Zoom,2024-08-31 12:00:00,100,2024-08-24 10:00:00
248,6,2023-09-13 10:00:00,Virtual Zoom,2023-09-13 12:00:00,100,2023-09-06 10:00:00
249,5,2022-06-09 10:00:00,Ella Rises HQ,2022-06-09 12:00:00,100,2022-06-02 10:00:00
250,2,2023-12-30 10:00:00,Virtual Zoom,2023-12-30 12:00:00,100,2023-12-23 10:00:00
251,6,2025-01-22 10:00:00,Local Library,2025-01-22 12:00:00,100,2025-01-15 10:00:00
252,7,2024-07-15 10:00:00,Virtual Zoom,2024-07-15 12:00:00,100,2024-07-08 10:00:00
253,2,2023-07-08 10:00:00,Ella Rises HQ,2023-07-08 12:00:00,100,2023-07-01 10:00:00
254,3,2024-03-19 10:00:00,Ella Rises HQ,2024-03-19 12:00:00,100,2024-03-12 10:00:00
255,8,2023-12-01 10:00:00,Local Library,2023-12-01 12:00:00,100,2023-11-24 10:00:00
256,1,2025-04-13 10:00:00,Local Library,2025-04-13 12:00:00,100,2025-04-06 10:00:00
257,2,2023-04-29 10:00:00,Local Library,2023-04-29 12:00:00,100,2023-04-22 10:00:00
258,3,2024-01-02 10:00:00,Virtual Zoom,2024-01-02 12:00:00,100,2023-12-26 10:00:00
259,5,2023-05-18 10:00:00,Art Studio 2,2023-05-18 12:00:00,100,2023-05-11 10:00:00
260,3,2021-11-09 10:00:00,Art Studio 2,2021-11-09 12:00:00,100,2021-11-02 10:00:00
261,10,2022-06-15 10:00:00,Virtual Zoom,2022-06-15 12:00:00,100,2022-06-08 10:00:00
262,2,2023-02-04 10:00:00,Community Center Room A,2023-02-04 12:00:00,100,2023-01-28 10:00:00
